el] pico RMS=6777 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:48.501Z [nivel] pico RMS=6784 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:48.610Z [raw-rx #2] 1b: 0c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.113Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.134Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.142Z [raw-tx ptt] 34b: 01d6e1a37cf667a9d82a8e3923672ba18d55711fe7a7caeec7b242e78876ebced6b2
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.144Z [raw-tx ptt] 34b: 01d6e2a379366788f8abb29532cda9f5c55c2b90e7ca68258a4ad36774471c71c9d8
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.165Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.178Z [raw-tx ptt] 34b: 01d6e1a3b8f5c72c7cb1ab9930c7cd489e7449846788f1d63c375d91342e1b3e271c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.184Z [raw-tx ptt] 34b: 01d6a1a3bcf6c3ea2a74a3c2dfdd8cb4de69d4d767c8e1d56ebae467c673c63a389a
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.204Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.219Z [raw-tx ptt] 34b: 01d6e1a37d36cda9d75d74638c67ec731d6e46e0812d615731e2abe7e928f8932aa1
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.223Z [raw-tx ptt] 34b: 01d6e2a37936e74d2ae0ab88fbb356c71b1344ded7edc75b91b8f0672edeb18ea72b
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.249Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.261Z [raw-tx ptt] 34b: 01d6e1a37cf6b3ee719b562929676d1c95a9e4d79b2f9ca4a9d89fe7cdc72272a73b
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.266Z [raw-tx ptt] 34b: 01d6a1a3bcfe5715ced471b71ba32d0e9bccd74e81eca9d59dc6a9e78eeee59338eb
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.286Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.303Z [raw-tx ptt] 34b: 01d6e1a3bcf567898bd4e6255f8172c75395b80fc78d0ea4cdb985cfb53f0b8e38e3
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.303Z [raw-tx ptt] 34b: 01d6a1a378f6a3cca8ab8ac63e67ed09a077956a672ec4fb6e38a3cd0ed4eb4bb8e3
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.326Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.345Z [raw-tx ptt] 34b: 01d6e1a37cf6e78c0ca471589667ec0bb076236db3b00d318ea56b67cc48d41a0b2a
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.350Z [raw-tx ptt] 34b: 01d6e1a37cf6818c2ca44a7525678a870c9549136786e091b025dc818b095498e51d
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.373Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.384Z [raw-tx ptt] 34b: 01d6e1ab793667ed38db91a717cdec395989a7606787779de3a9357d1373e669c91c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.386Z [raw-tx ptt] 34b: 01d6e1a37cf6e3a93564b2c1ab67c98743adbb5d67ed371d6e4918678c751b92b51c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.406Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.431Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.449Z [raw-tx ptt] 34b: 01d6a1a3bcfe67e835921ab1bb67c845cc7d372467c79cc38aa76581c859d649f139
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.449Z [raw-tx ptt] 34b: 01d6a1a3b8f6678aa7250f4173cdcdb952b2096067c9d7064dd756cda8c6d66c62dd
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.470Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.491Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.496Z [raw-tx ptt] 34b: 01d6a1a3b8f5cde8575c6dc9507755ba687a371cc3888d396f17a567a92bfa8eaaa3
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.499Z [raw-tx ptt] 34b: 01d6e1a3793667a836fc739c7b67ac47cc79c71b67c928dbadc34567890edc90c6e3
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:58.502Z [nivel] pico RMS=7544 (-12.8 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.520Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.537Z [raw-tx ptt] 34b: 01d6e2a37cf5cdcac31e4ac62d678a263b8346decdcaa5db1dc1a3c3d5b12c9248db
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.538Z [raw-tx ptt] 34b: 01d6e1a37cf6c3c8caab8eb960678c9fea95a922e711769a51399ccda8e81ea644e4
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.559Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.581Z [raw-tx ptt] 34b: 01d6e1a37cf6cdcbc6e37261eb6789552375b8e0cdc3e63994bcd667e837d48e46e1
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.582Z [raw-tx ptt] 34b: 01d721a379356785631d45603567a989337653a65dd5399f4a36e3c3c6f11ce6ca1d
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.604Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.620Z [raw-tx ptt] 34b: 01d6e1a3793667896e32f219616788bf43f1892167e8383489c8f2cdc8d86aa3489c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.622Z [raw-tx ptt] 34b: 01d6a1a3b8f6cdc5c53b83981ce7aca86aa6ba3467a8d3c61a35e1672c731d4b467a
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.640Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.661Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.668Z [raw-tx ptt] 34b: 01d6e1a378f6cd2c23d53962decd89f55b3d35ce67abae63b236e567c87145593722
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.669Z [raw-tx ptt] 34b: 01d6e1a378f667cac6c57248e281a8b8b97b0e32cdec389c9248a067e6ec6d7d2d0f
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.695Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.704Z [raw-tx ptt] 34b: 01d6e1a3f935cda9b5232be27767cc25e95b27327756498d0ec8e3c3ca64e502c55b
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.705Z [raw-tx ptt] 34b: 01d6a1a3bcfe678b86dd91ab60814aae2ae32cb0cd2b1c72e2ac72e7ab746632d313
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.726Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.749Z [raw-tx ptt] 34b: 01d6e1a37cf667aae6daa6481e67af453b8e38dc67a874e56731ad67a6acd0adcd1c
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.749Z [raw-tx ptt] 34b: 01d6a1a3bcfecdebc8e46956a7678986ae6e572567e4d76511475867a547037a2ce3
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.770Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.785Z [raw-tx ptt] 34b: 01d6e1a3bd35e754c6e38f219ddf8c86f44ad326dfad276a76947a67c8ac8a945525
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.786Z [raw-tx ptt] 34b: 01d6a1a3b8fecde9b7630a40bf67ac11b416d4f6cd8c13ea1b416d67870c18af8739
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.810Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.834Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.845Z [raw-tx ptt] 34b: 01d6e1a3bcf6cd898ae282386d67ec19e15a3563b3ae0b6a76b52b67c9384b520958
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.851Z [raw-tx ptt] 34b: 01d6e1a3b93557d44bc2ae391b52d2e3f08ea72a9ef051d47cab50ed2f60ef3c4750
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.873Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.887Z [raw-tx ptt] 34b: 01d6a1a3b8fe67ce8ce959b6dfb3100cdb55551667abaed8af9aea67acb90291d71d
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.891Z [raw-tx ptt] 34b: 01d6a2a3bcfe67ab26bb0f449e67aa13bb1bd0fcb3cd27d8bb096167cc37058d5524
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.915Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:58 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:58.927Z [raw-tx ptt] 34b: 01d6e1a3793681acc4b36b382567ac13ba53273367a989dc52316467c6b526c1d6e5
